Instance,#cols,#rows,DynDXD_T1,Solutions,Max Blocks,|ZDD|,|DNNF|
grafo11067.98.txt,164,2449,418.9432,4884715904609705915728260,9,,365673
grafo11069.93.txt,156,810,0.3542,67197688711299492990806963592,7,,183114
grafo11070.94.txt,159,864,0.3736,296693280114774832563512784000,7,,71506
grafo11072.98.txt,,,TO,,,,
grafo11073.100.txt,181,22004,,,,,
grafo11076.97.txt,155,632,0.0703,3926107989980203149244661760,6,,35943
grafo11088.97.txt,163,1237,0.8781,1132009966041849001850031168,7,,14978
grafo11096.97.txt,162,840,0.1004,21190592381506159344503198702400000,8,,38119
grafo11099.99.txt,,,TO,,,,
grafo11100.95.txt,,,TO,,,,
grafo11101.95.txt,162,1800,43.3913,1211226137316281427542624,7,,152186
grafo11102.98.txt,156,541,0.2193,80652422922542352,10,,58694
grafo11105.95.txt,166,1068,3.9048,4111685478502368575572767024,8,,639798
grafo11106.99.txt,158,810,0.3899,1800431199418215917984417280,7,,126442
grafo11110.99.txt,156,672,3.6207,3283273471348689681777012,8,,101395
grafo11112.96.txt,157,655,0.6951,33738258871239280775996,8,,318135
grafo11113.98.txt,153,577,0.1256,85282876610070364386506217600,8,,46482
grafo11114.93.txt,158,813,0.3547,19671423926865926171894250009840,6,,159794
grafo11115.92.txt,152,700,0.1100,457952153329344881847182400,8,,10546
grafo11119.98.txt,161,863,4.6069,150210472805527971193234581960,5,,1846930
grafo11125.100.txt,,,TO,,,,
grafo11140.98.txt,147,542,0.0424,12949719097651467435583488000,7,,18704
grafo11142.99.txt,164,721,0.4680,2008995148165214645462934938126250,8,,243681
grafo11143.98.txt,156,563,0.0411,21006525537883519741138348800,8,,13269
grafo11144.92.txt,151,722,2.6882,79925698964277175089456000,9,,52524
grafo11145.99.txt,169,1166,2.2868,3903831925510176287771590588680,6,,884344
grafo11148.99.txt,155,977,2.5165,26041654890177651406705620615480,7,,1070613
grafo11149.100.txt,187,193759,,,,,
grafo11157.100.txt,158,1598,0.6333,2255327749858429472655767498496,7,,155168
grafo11162.100.txt,186,146753,,,,,
grafo11176.100.txt,182,42963,,,,,
grafo11178.95.txt,,,TO,,,,
grafo11181.95.txt,154,745,0.0530,204303551180648012431583604480,8,,12366
grafo11198.98.txt,167,2169,56.3578,492387302804990856535993500,5,,1136044
grafo11201.99.txt,165,885,0.3898,1147022433334993234582136574000,8,,23279
grafo11204.99.txt,168,15158,,,,,
grafo11218.99.txt,166,1389,42.0263,1076459974594446113826336,10,,186052
grafo11223.99.txt,146,568,0.2011,2360818719012081418650711306540,8,,125796
grafo11227.100.txt,165,734,1.7363,2719845684425853569154744,8,,400115
grafo11250.99.txt,163,1007,0.3561,8943747317419205357818461381583296,7,,158753
grafo11251.93.txt,151,807,0.1756,4809787111811592399184022526528,7,,37811
grafo11254.99.txt,154,1002,0.7462,31880530248677457232811590,6,,315710
grafo11271.99.txt,171,1500,18.8241,109664252023274371019546173840,9,,157933
grafo11280.99.txt,165,1092,2.5702,88048812952084415878440,9,,120934
grafo11313.96.txt,154,696,4.7860,40016146276863990540,8,,130673
grafo11324.100.txt,171,1233,0.3092,636719888089739833532108282511360,7,,100339
grafo11335.100.txt,162,778,0.2217,61471332725994635285503002432000,8,,38627
grafo11369.96.txt,163,13682,,,,,
grafo11458.100.txt,160,945,0.5613,32929356255182046387469994928,6,,264010
grafo11469.96.txt,159,749,0.4242,165728243199277045297920000,6,,200059
grafo11546.97.txt,160,797,0.1186,75444469155251576685056404800,7,,42736
grafo11569.93.txt,155,990,0.1418,4844612865840488301571200,6,,26483
grafo3224.98.txt,174,16247,,,,,
grafo3435.99.txt,167,2102,1.1121,652148706592030102138027610622720,7,,153812
grafo3532.99.txt,161,760,0.0557,28327450894599629841700806720,7,,22118
grafo3680.99.txt,168,1206,0.1318,2149519026657629741871667680000,7,,30499
grafo3712.95.txt,149,644,0.0762,5258623445171291339393040,6,,38585
grafo3861.99.txt,153,726,0.1478,16121448104607716575683640617648,8,,56024
grafo3890.96.txt,167,832,0.1061,8944113065325995850718418621147520,12,,34782
grafo3898.99.txt,170,2091,20.9461,45437831938339492182383236673520,6,,178806
grafo3979.98.txt,166,896,0.5064,457654341382722084437760,10,,12544
grafo3995.97.txt,158,1160,0.2219,5929679077188049509962370404726016,8,,45338
grafo4091.99.txt,167,1879,0.9443,33559251293718862384757894853120,6,,203111
