Instance,#cols,#rows,DLX,Solutions,Max Blocks,|ZDD|,|DNNF|
kts21-ptpt-0058.ec,,,TO,,,,
kts21-ptpt-0059.ec,,,TO,,,,
kts21-ptpt-0060.ec,,,TO,,,,
kts21-ptpt-0061.ec,,,TO,,,,
kts21-ptpt-0062.ec,,,TO,,,,
kts21-ptpt-0063.ec,,,TO,,,,
kts21-ptpt-0064.ec,,,TO,,,,
kts21-ptpt-0065.ec,,,TO,,,,
kts21-ptpt-0066.ec,,,TO,,,,
kts21-ptpt-0067.ec,,,TO,,,,
kts21-ptpt-0068.ec,,,TO,,,,
kts21-ptpt-0069.ec,,,TO,,,,
kts21-ptpt-0070.ec,,,TO,,,,
kts21-ptpt-0071.ec,,,TO,,,,
kts21-ptpt-0072.ec,,,TO,,,,
kts21-ptpt-0073.ec,,,TO,,,,
kts21-ptpt-0074.ec,,,TO,,,,
kts21-ptpt-0075.ec,,,TO,,,,
kts21-ptpt-0076.ec,,,TO,,,,
kts21-ptpt-0077.ec,,,TO,,,,
kts21-ptpt-0078.ec,,,TO,,,,
kts21-ptpt-0079.ec,,,TO,,,,
kts21-ptpt-0080.ec,,,TO,,,,
kts21-ptpt-0081.ec,,,TO,,,,
kts21-ptpt-0082.ec,,,TO,,,,
kts21-ptpt-0083.ec,,,TO,,,,
kts21-ptpt-0084.ec,,,TO,,,,
kts21-ptpt-0085.ec,,,TO,,,,
kts21-ptpt-0086.ec,,,TO,,,,
kts21-ptpt-0087.ec,,,TO,,,,
kts21-ptpt-0088.ec,,,TO,,,,
kts21-ptpt-0089.ec,,,TO,,,,
kts21-ptpt-0090.ec,,,TO,,,,
kts21-ptpt-0091.ec,,,TO,,,,
kts21-ptpt-0092.ec,,,TO,,,,
kts21-ptpt-0093.ec,,,TO,,,,
kts21-ptpt-0094.ec,,,TO,,,,
kts21-ptpt-0095.ec,,,TO,,,,
kts21-ptpt-0096.ec,,,TO,,,,
kts21-ptpt-0097.ec,,,TO,,,,
kts21-ptpt-0098.ec,,,TO,,,,
kts21-ptpt-0099.ec,,,TO,,,,
kts21-ptpt-0100.ec,,,TO,,,,
latin6-blk-00001.ec,60,60,0.0001,48,,,
latin6-blk-00002.ec,60,62,0.0001,56,,,
latin6-blk-00003.ec,60,64,0.0001,80,,,
latin6-blk-00004.ec,60,63,0.0001,72,,,
latin6-blk-00005.ec,60,65,0.0001,80,,,
latin6-blk-00006.ec,60,64,0.0001,88,,,
latin6-blk-00007.ec,60,65,0.0001,80,,,
latin7-blk-00001.ec,90,120,0.0171,10752,,,
latin7-blk-00002.ec,90,122,0.0210,14976,,,
latin7-blk-00003.ec,90,123,0.0235,17280,,,
latin7-blk-00004.ec,90,124,0.0261,19840,,,
latin7-blk-00005.ec,90,124,0.0253,20480,,,
latin7-blk-00006.ec,90,126,0.0331,29056,,,
latin7-blk-00007.ec,90,125,0.0290,23616,,,
latin7-blk-00008.ec,90,126,0.0324,27072,,,
latin7-blk-00009.ec,90,126,0.0327,27776,,,
latin8-blk-00001.ec,126,210,80.2661,49390080,,,
latin8-blk-00002.ec,126,212,93.3083,63398400,,,
latin8-blk-00003.ec,126,213,103.8528,71875584,,,
latin8-blk-00004.ec,126,214,114.8232,81497088,,,
latin8-blk-00005.ec,126,215,129.7577,92570880,,,
latin8-blk-00006.ec,126,214,112.5063,81652224,,,
latin8-blk-00007.ec,126,216,139.6195,105267712,,,
latin8-blk-00008.ec,126,217,156.9234,119867264,,,
latin8-blk-00009.ec,126,215,126.2391,92696832,,,
latin8-blk-00010.ec,126,217,159.2775,119789568,,,
latin8-blk-00011.ec,126,216,142.3689,105361920,,,
latin8-blk-00012.ec,126,217,158.6935,119932416,,,
latin8-blk-00013.ec,126,216,143.2465,105321984,,,
latin8-blk-00014.ec,126,216,142.7629,105271680,,,
latin8-blk-00015.ec,126,217,160.0319,119884800,,,
