Instance,#cols,#rows,DXZ,Solutions,Max Blocks,|ZDD|,|DNNF|
grafo10489.95.txt,164,6020,,,,,
grafo10491.97.txt,169,3856,,,,,
grafo10492.96.txt,164,4638,64.6182,38385092889215558709646608,,21892360,
grafo10496.98.txt,176,3413,,,,,
grafo10501.96.txt,157,847,0.5253,60200824737438188138649600000,,347262,
grafo10502.91.txt,146,1113,1.3514,17145714310767787059504,,685003,
grafo10508.100.txt,183,5889,,,,,
grafo10516.94.txt,156,915,42.7099,15349711122512351824387104,,18174016,
grafo10522.99.txt,164,2148,0.7368,1362396344215079666562581191680,,300499,
grafo10523.97.txt,161,1455,1.9265,2582091205626879955768320,,788472,
grafo10532.99.txt,163,953,6.5901,462566121904987146278607062688,,2885130,
grafo10533.100.txt,166,1116,9.9324,75764857535860831884117103184352000,,4172759,
grafo10534.100.txt,165,915,0.5290,6190408588157272937200357916356608,,349060,
grafo10536.99.txt,154,737,0.5942,89947113720736152688205852520,,425839,
grafo10537.95.txt,164,6323,,,,,
grafo10538.100.txt,176,931,,,,,
grafo10547.94.txt,160,1118,1.7705,6784952125033040430938400,,950745,
grafo10549.99.txt,171,1562,0.2843,1145040940241452014901674319885248,,182224,
grafo10552.96.txt,170,1188,20.8611,20889189870809500241567463732,,8786734,
grafo10560.95.txt,156,830,0.3052,10454917675207673432929607718912,,236207,
grafo10575.99.txt,173,1229,40.4163,290401264008949854573481499040,,15786640,
grafo10577.100.txt,182,2713,191.6439,289452950354569046440781896512,,63228262,
grafo10578.96.txt,165,957,3.8413,59437323231793271781305400,,1877959,
grafo10586.100.txt,162,827,0.7022,3148494801299673548445909600,,379629,
grafo10589.93.txt,165,1318,20.7496,48906269999337293049166893934,,8767513,
grafo10592.98.txt,157,799,0.1587,2607343682329504256862467094951600,,130373,
grafo10596.99.txt,156,696,1.0847,112573774918535869185914200320,,538907,
grafo10603.100.txt,162,554,2.3872,670512137201452348880000,,1248289,
grafo10608.93.txt,155,823,1.1111,2731821039316855290098374368,,624118,
grafo10624.91.txt,149,701,0.0292,28252598579182428029482758660,,32720,
grafo10626.100.txt,163,636,0.0540,123805968402809495607386400,,47741,
grafo10630.94.txt,158,837,11.3319,42203059497998750551687360,,4421737,
grafo10632.100.txt,164,1556,1.2335,574873728665588253232036281576000,,702866,
grafo10633.100.txt,179,4742,,,,,
grafo10634.96.txt,170,1196,26.7492,1654661607863151503791546470072,,10717545,
grafo10635.95.txt,163,840,9.2802,71356614508593506783205120,,4361990,
grafo10637.94.txt,152,600,0.2449,11214433932496991100576672,,176595,
grafo10638.100.txt,162,599,3.9075,186453077689245827319552,,1731542,
grafo10644.100.txt,163,804,0.7043,465721805127078320112415926,,430313,
grafo10646.100.txt,164,665,4.2517,9820844339917672108320000,,2102070,
grafo10648.98.txt,161,1387,0.3049,356474569742739338284800,,113849,
grafo10650.98.txt,164,3301,12.2187,34469986930722665255421960,,4892380,
grafo10652.100.txt,178,2919,,,,,
grafo10653.100.txt,181,1712,3.2496,1342945475430854403482774400,,1258544,
grafo10662.100.txt,168,829,54.8259,27178264737136355130266792160,,20244767,
grafo10663.99.txt,157,790,0.0510,10004537904397046812627562880,,42675,
grafo10670.100.txt,171,13528,72.2440,8990527628570146924938508836,,341355,
grafo10671.100.txt,176,1520,,,,,
grafo10674.99.txt,161,1282,,,,,
grafo10676.100.txt,155,741,0.2640,88449251051691116273910908805120,,187416,
grafo10685.98.txt,157,783,0.3036,18933970214606610605994945868800,,184123,
grafo10688.95.txt,170,1972,68.0158,7478249147928664184000711424,,23032371,
grafo10689.98.txt,167,1962,1.1017,1370682840424281115042080000,,577588,
grafo10693.98.txt,156,733,0.1586,15811121663230543469294733740160,,144371,
grafo10694.96.txt,164,9574,,,,,
grafo10695.98.txt,157,746,0.0819,152426309856396886819860480,,75761,
grafo10696.99.txt,169,1113,3.5318,5204295119772122743131779016000,,1747241,
grafo10698.95.txt,150,683,0.0553,195624642073083526902416762880,,58369,
grafo10700.98.txt,159,705,0.1613,2303423420658486348064432128000,,132681,
grafo10712.98.txt,167,1341,0.2195,87350475221980225179971773660000,,155578,
grafo10713.92.txt,163,1518,,,,,
grafo10714.99.txt,166,3959,4.7581,753274529425123951158772320,,1170668,
grafo10722.96.txt,155,1546,1.3226,7181570767061926043280,,667777,
grafo10726.99.txt,170,1087,63.0259,1169399311839227212851048083244,,23742852,
grafo10735.99.txt,,,TO,,,,
grafo10736.99.txt,165,1087,3.8420,654533297175705995389488840,,1850869,
grafo10737.99.txt,162,972,5.4850,948450972521583413184960,,2547583,
grafo10750.100.txt,167,923,0.7921,79424048531055784214151971742570,,509816,
grafo10758.96.txt,159,1112,0.0655,14393936331269128652052040205472000,,55111,
grafo10760.96.txt,168,1424,,,,,
grafo10772.100.txt,174,20927,,,,,
grafo10780.99.txt,173,1612,57.9533,100510603235716812889699539000,,20651161,
grafo10781.100.txt,170,1949,51.1268,34326665474148801719856,,18019890,
grafo10792.98.txt,162,1208,5.6969,28740767437755069904027187552640,,2610693,
grafo10806.97.txt,156,835,60.4268,35881666506623085510751630704,,24217376,
grafo10807.95.txt,161,2560,,,,,
grafo10808.98.txt,163,1385,4.2138,378121638730523407451224668000,,2146746,
grafo10810.97.txt,165,5545,9.0632,1746631086263901572859052425,,313688,
grafo10811.96.txt,161,728,28.9986,62515670831703315145917440,,11617250,
grafo10814.98.txt,167,1164,33.3218,1117492558030331291665006550400,,13367991,
grafo10820.100.txt,,,TO,,,,
grafo10825.98.txt,160,666,0.0500,448703730980795389658142516768,,36112,
grafo10827.99.txt,176,3159,,,,,
grafo10829.97.txt,163,698,3.7270,353487722444640397950336000,,1701219,
grafo10831.98.txt,157,697,0.3718,132173432028682426792675123200,,284797,
grafo10832.94.txt,,,TO,,,,
grafo10836.97.txt,163,1068,7.2300,53329839846150181450672975648,,2996416,
grafo10849.95.txt,155,772,0.0941,146263666707748943943862272000,,70409,
grafo10854.99.txt,156,949,0.3314,193279971348667631511842668560000,,214300,
grafo10859.97.txt,165,726,0.8489,619544659954727747936779866,,537792,
grafo10860.93.txt,154,939,0.1327,82576179328076510630400,,87229,
grafo10861.100.txt,169,841,0.4240,7829291526509697645939638655852000,,272297,
grafo10862.98.txt,,,TO,,,,
grafo10864.99.txt,164,1618,69.4750,16665764373432126063209924028,,25412921,
grafo10865.100.txt,,,TO,,,,
grafo10866.98.txt,159,2116,115.1722,68354387038968318178169191660,,45479711,
grafo10876.98.txt,,,TO,,,,
grafo10878.94.txt,152,1002,0.0807,40435924270963719626022422183040,,80595,
grafo10882.95.txt,156,869,13.4401,447542395174556065368789552,,6058730,
grafo10883.93.txt,157,1366,0.0889,2430118976009979196378800000,,67936,
grafo10898.95.txt,153,737,0.2002,758521327325540596697880000,,149673,
grafo10905.97.txt,151,682,0.0566,12135924843732264824121600000,,64262,
grafo10907.99.txt,165,2875,0.7969,32617260794404341954987264,,100070,
grafo10908.98.txt,159,988,6.6266,6900724724314149434034825440,,3274456,
grafo10911.100.txt,,,TO,,,,
