Instance,1_threads_time,1_threads_solutions,1_threads_max_blocks,2_threads_time,2_threads_solutions,2_threads_max_blocks,4_threads_time,4_threads_solutions,4_threads_max_blocks,8_threads_time,8_threads_solutions,8_threads_max_blocks
grafo10633.100.txt,51.1132,4051183497234948245203200,,51.0963,4051183497234948245203200,,27.7597,4051183497234948245203200,,27.6950,4051183497234948245203200,
grafo10634.96.txt,5.7423,1654781544725917620413343427164,,5.7548,1654781544725917620413343427164,,4.2906,1654781544725917620413343427164,,4.3095,1654781544725917620413343427164,
grafo10635.95.txt,1.2117,71356613932690877273184000,,1.2139,71356613932690877273184000,,0.8358,71356613932690877273184000,,0.8559,71356613932690877273184000,
grafo10637.94.txt,1.2631,11214433932496991100576672,,1.2612,11214433932496991100576672,,1.2857,11214433932496991100576672,,1.2828,11214433932496991100576672,
grafo10638.100.txt,1.4122,186453077689245827319552,,1.4069,186453077689245827319552,,1.3837,186453077689245827319552,,1.3783,186453077689245827319552,
grafo10644.100.txt,1.9084,465721805127078320112415926,,1.9019,465721805127078320112415926,,1.7862,465721805127078320112415926,,1.7860,465721805127078320112415926,
grafo10646.100.txt,1.2212,9820844339917672108320000,,1.2257,9820844339917672108320000,,0.7966,9820844339917672108320000,,0.8121,9820844339917672108320000,
grafo10648.98.txt,2.7006,356474569742739338284800,,2.7027,356474569742739338284800,,2.4462,356474569742739338284800,,2.4509,356474569742739338284800,
grafo10650.98.txt,28.6769,34469998616098897969669380,,28.6551,34469998616098897969669380,,18.0966,34469998616098897969669380,,18.1318,34469998616098897969669380,
grafo10652.100.txt,133.2940,3980767004196538169400792876,,133.3038,3980767004196538169400792876,,136.6092,3980767004196538169400792876,,136.5986,3980767004196538169400792876,
grafo10653.100.txt,11.5558,1342937053333865090796414720,,11.5772,1342937053333865090796414720,,11.8938,1342937053333865090796414720,,11.8978,1342937053333865090796414720,
grafo10662.100.txt,4.2008,27178777349470484479346220000,,4.2067,27178777349470484479346220000,,4.2197,27178777349470484479346220000,,4.2264,27178777349470484479346220000,
grafo10663.99.txt,0.5889,10004537904397046812627562880,,0.5894,10004537904397046812627562880,,0.3137,10004537904397046812627562880,,0.3202,10004537904397046812627562880,
grafo10670.100.txt,timeout,,,timeout,,,timeout,,,timeout,,
grafo10671.100.txt,39.3435,624388665254004882462918502728,,39.3162,624388665254004882462918502728,,24.3426,624388665254004882462918502728,,24.3965,624388665254004882462918502728,
grafo10674.99.txt,2.7676,5795087564123430300037643026176,,2.7720,5795087564123430300037643026176,,1.0477,5795087564123430300037643026176,,1.0987,5795087564123430300037643026176,
grafo10676.100.txt,0.5881,88449251051691116273910908805120,,0.5882,88449251051691116273910908805120,,0.5034,88449251051691116273910908805120,,0.4719,88449251051691116273910908805120,
grafo10685.98.txt,0.6534,18933970214606610605994945868800,,0.6552,18933970214606610605994945868800,,0.3004,18933970214606610605994945868800,,0.3198,18933970214606610605994945868800,
grafo10688.95.txt,33.3349,7478181939256863448721096448,,33.3250,7478181939256863448721096448,,26.5864,7478181939256863448721096448,,26.6497,7478181939256863448721096448,
grafo10689.98.txt,1.2192,1370682840424281115042080000,,1.2182,1370682840424281115042080000,,0.8373,1370682840424281115042080000,,0.8410,1370682840424281115042080000,
grafo10693.98.txt,0.2851,15811121663230543469294733740160,,0.2856,15811121663230543469294733740160,,0.1630,15811121663230543469294733740160,,0.1470,15811121663230543469294733740160,
grafo10694.96.txt,timeout,,,timeout,,,timeout,,,timeout,,
grafo10695.98.txt,1.1215,152426309856396886819860480,,1.1239,152426309856396886819860480,,1.0284,152426309856396886819860480,,1.0344,152426309856396886819860480,
grafo10696.99.txt,4.6862,5204307257358901709651572916250,,4.6894,5204307257358901709651572916250,,2.9532,5204307257358901709651572916250,,2.9861,5204307257358901709651572916250,
grafo10698.95.txt,0.1651,195624642073083526902416762880,,0.1648,195624642073083526902416762880,,0.0616,195624642073083526902416762880,,0.0779,195624642073083526902416762880,
grafo10700.98.txt,0.5390,2303423420658486348064432128000,,0.5396,2303423420658486348064432128000,,0.2849,2303423420658486348064432128000,,0.2512,2303423420658486348064432128000,
grafo10712.98.txt,1.0665,87350475221980225179971773660000,,1.0665,87350475221980225179971773660000,,0.7464,87350475221980225179971773660000,,0.7565,87350475221980225179971773660000,
grafo10713.92.txt,64.2337,762510033365435299350000,,64.2029,762510033365435299350000,,66.7979,762510033365435299350000,,66.7178,762510033365435299350000,
grafo10714.99.txt,43.2726,753275972951039162649444000,,43.3229,753275972951039162649444000,,28.2889,753275972951039162649444000,,28.3243,753275972951039162649444000,
grafo10722.96.txt,1.3212,7181570767061926043280,,1.3203,7181570767061926043280,,1.2089,7181570767061926043280,,1.2121,7181570767061926043280,
grafo10726.99.txt,2.1624,1169381234631546957492807274800,,2.1635,1169381234631546957492807274800,,1.1245,1169381234631546957492807274800,,1.1276,1169381234631546957492807274800,
