instance,Dyn_time,Dyn_cc_cpu_time,DXD_time,DXD_cc_cpu_time
grafo10696.99,0.834732,0.162533,1.121903,0.446949
grafo10698.95,0.034015,0.006607,0.042472,0.013285
grafo10700.98,0.104122,0.022394,0.133040,0.051787
grafo10712.98,0.191208,0.028389,0.241302,0.072175
grafo10722.96,0.242216,0.010217,0.264830,0.030235
grafo10726.99,0.343581,0.061353,0.464956,0.192256
grafo10736.99,0.166571,0.030087,0.222629,0.083650
grafo10737.99,0.347321,0.048854,0.496858,0.185167
grafo10750.100,0.162693,0.029361,0.211288,0.071831
grafo10758.96,0.116714,0.019345,0.144138,0.040929
grafo10780.99,57.952455,9.672052,83.693332,39.789694
grafo10781.100,0.315137,0.018534,0.407409,0.075968
grafo10792.98,0.240340,0.034093,0.306938,0.094858
grafo10806.97,11.125665,1.915675,15.685678,7.535293
grafo10808.98,0.576372,0.087337,0.739402,0.231957
grafo10811.96,1.360915,0.256927,1.892883,0.833269
grafo10814.98,0.895577,0.157955,1.279046,0.437639
grafo10825.98,0.043687,0.009178,0.055917,0.019469
grafo10829.97,0.262655,0.054737,0.359497,0.154422
grafo10831.98,0.129702,0.024737,0.173901,0.060304
grafo10836.97,0.079181,0.010565,0.094733,0.024285
grafo10849.95,0.060286,0.011077,0.077779,0.029203
grafo10854.99,0.108482,0.020824,0.140673,0.045916
grafo10859.97,0.212954,0.046631,0.283363,0.123130
grafo10860.93,0.038448,0.004945,0.047472,0.011364
grafo10861.100,0.139270,0.028084,0.192483,0.067386
grafo10864.99,1.082158,0.173933,1.415739,0.576432
grafo10866.98,7.059801,0.886528,9.464708,3.601382
grafo10878.94,0.172995,0.031052,0.227744,0.075929
grafo10882.95,0.425737,0.087202,0.558574,0.248985
grafo10883.93,0.135426,0.009784,0.163300,0.029328
grafo10898.95,0.054742,0.009960,0.068220,0.024308
grafo10905.97,0.050321,0.010002,0.082850,0.027271
grafo10907.99,1.747388,0.035371,1.881978,0.154924
grafo10908.98,0.358264,0.051580,0.447516,0.152881
