Instance,#cols,#rows,MDLX,Solutions,Max Blocks,|ZDD|,|DNNF|
grafo10670.100.txt,,,TO,,,,
grafo10671.100.txt,176,1520,TO,,,,
grafo10674.99.txt,161,1282,17.2536,5795071987312867464401288085504,13,,
grafo10676.100.txt,155,741,5.4972,88449251051691116273910908805120,10,,
grafo10685.98.txt,157,783,2.9636,18933970214606610605994945868800,9,,
grafo10688.95.txt,170,1972,TO,,,,
grafo10689.98.txt,167,1962,1.6640,1370682840424281115042080000,13,,
grafo10693.98.txt,156,733,0.8359,15811121663230543469294733740160,11,,
grafo10694.96.txt,,,TO,,,,
grafo10695.98.txt,157,746,72.7133,152426309856396886819860480,12,,
grafo10696.99.txt,169,1113,117.4611,5204295119772122743131779016000,12,,
grafo10698.95.txt,150,683,0.3312,195624642073083526902416762880,9,,
grafo10700.98.txt,159,705,2.9102,2303423420658486348064432128000,10,,
grafo10712.98.txt,167,1341,7.6334,87350475221980225179971773660000,10,,
grafo10713.92.txt,163,1518,TO,,,,
grafo10714.99.txt,166,3959,TO,,,,
grafo10722.96.txt,155,1546,3.0368,7181570767061926043280,12,,
grafo10726.99.txt,170,1087,59.1509,1169388613595008901313330971328,13,,
grafo10735.99.txt,,,TO,,,,
grafo10736.99.txt,165,1087,17.0610,654533353008865416702686400,12,,
grafo10737.99.txt,162,972,96.9732,948450972521583413184960,15,,
grafo10750.100.txt,167,923,7.8261,79424048531055784214151971742570,9,,
grafo10758.96.txt,159,1112,2.0668,14393936331269128652052040205472000,9,,
grafo10760.96.txt,168,1424,TO,,,,
grafo10772.100.txt,,,TO,,,,
grafo10780.99.txt,173,1612,TO,,,,
grafo10781.100.txt,170,1949,77.6997,34326665474148801719856,17,,
grafo10792.98.txt,162,1208,20.6749,28740760556884933575573102213120,10,,
grafo10806.97.txt,156,835,TO,,,,
grafo10807.95.txt,161,2560,248.7015,593601033156740569446885,16,,
grafo10808.98.txt,163,1385,36.8647,378121638730523407451224668000,12,,
grafo10810.97.txt,,,TO,,,,
grafo10811.96.txt,161,728,550.8777,62515660367842952114211840,14,,
grafo10814.98.txt,167,1164,97.6039,1117495537268725326331067884800,12,,
grafo10820.100.txt,,,TO,,,,
grafo10825.98.txt,160,666,1.6857,448703730980795389658142516768,10,,
grafo10827.99.txt,176,3159,39.4577,55037159210177477446446115200,15,,
grafo10829.97.txt,163,698,51.9961,353483805373369159926528000,11,,
grafo10831.98.txt,157,697,11.2012,132171520291202302513208524800,8,,
grafo10832.94.txt,,,TO,,,,
grafo10836.97.txt,163,1068,1.1466,53328914740725442127812132608,10,,
grafo10849.95.txt,155,772,12.7330,146263666707748943943862272000,17,,
grafo10854.99.txt,156,949,1.6178,193278561796094961314540049523200,8,,
grafo10859.97.txt,165,726,14.1995,619544659954727747936779866,11,,
grafo10860.93.txt,154,939,0.4775,82576179328076510630400,9,,
grafo10861.100.txt,169,841,7.4074,7829288665158404488852831676796000,9,,
grafo10862.98.txt,,,TO,,,,
grafo10864.99.txt,164,1618,528.9541,16665764537733819344371841148,14,,
grafo10865.100.txt,,,TO,,,,
grafo10866.98.txt,159,2116,TO,,,,
grafo10876.98.txt,,,TO,,,,
grafo10878.94.txt,152,1002,7.6711,40448324839475188109531614233600,8,,
grafo10882.95.txt,156,869,80.6499,447542272092260259015739440,11,,
grafo10883.93.txt,157,1366,2.4711,2430118976009979196378800000,16,,
grafo10898.95.txt,153,737,3.1582,758521327325540596697880000,12,,
grafo10905.97.txt,151,682,0.6087,12135924843732264824121600000,9,,
grafo10907.99.txt,165,2875,47.1398,32617260794404341954987264,13,,
grafo10908.98.txt,159,988,37.9527,6900725645688243858242801600,12,,
grafo10911.100.txt,,,TO,,,,
grafo10918.98.txt,166,784,393.4672,32800654433715516623943360,16,,
grafo10919.97.txt,160,769,10.8067,4873808896014194882486512200,11,,
grafo10926.99.txt,162,703,1.9893,401726519668839391778054937600,10,,
grafo10928.100.txt,178,1222,TO,,,,
grafo10937.100.txt,158,733,6.9693,911068768064780693215657056000,9,,
grafo10943.95.txt,154,712,142.6300,2232135796878792160387153920000,14,,
grafo10945.98.txt,161,1093,5.9887,95891009417905168894140000,12,,
grafo10950.97.txt,,,TO,,,,
grafo10952.96.txt,164,2080,1154.5582,391142330406672230736365760,18,,
grafo10958.98.txt,,,TO,,,,
grafo10962.100.txt,,,TO,,,,
grafo10970.100.txt,163,758,117.9922,2452216546463682773005463232,15,,
grafo10972.95.txt,157,968,TO,,,,
grafo10976.92.txt,163,1705,32.4428,10759050697100237213220300916440,12,,
grafo10998.100.txt,,,TO,,,,
grafo11000.99.txt,171,916,100.9318,1217725012095539482686059005177080,15,,
grafo11001.97.txt,,,TO,,,,
grafo11003.100.txt,159,764,665.1838,3976499213449309516733400000,16,,
grafo11008.99.txt,163,967,496.0301,3675203970100782918317392,15,,
grafo11011.100.txt,161,861,2.2140,140688757390106390892469346304000,11,,
grafo11014.100.txt,159,755,11.2098,102699410881895065529306726096461824,11,,
grafo11015.98.txt,162,1360,726.5033,5799643168166328288201029091456,13,,
grafo11016.98.txt,161,1253,2.6522,7526571230364813338624640,12,,
grafo11020.100.txt,164,823,22.1956,20444842677214024445820085111800000,10,,
grafo11035.99.txt,165,816,0.6298,26848343803661264515276800,11,,
grafo11037.99.txt,160,1011,TO,,,,
grafo11039.96.txt,154,597,809.1315,3389918511944201602117280,16,,
grafo11044.95.txt,144,501,1.4670,1197912132516610056000,13,,
grafo11047.92.txt,,,TO,,,,
grafo11050.98.txt,158,745,65.8950,21793683158398046358023808,14,,
grafo11056.98.txt,163,965,48.4906,139448046035464528744346345472,10,,
grafo11060.99.txt,160,823,17.3011,2221581091015208181652619592894,9,,
grafo11067.98.txt,164,2449,414.5689,4884715904609705915728260,15,,
grafo11069.93.txt,156,810,150.2015,67197688711299492990806963592,13,,
grafo11070.94.txt,159,864,12.0581,296693280114774832563512784000,11,,
grafo11072.98.txt,,,TO,,,,
grafo11073.100.txt,,,TO,,,,
grafo11076.97.txt,155,632,6.2419,3926107989980203149244661760,12,,
grafo11088.97.txt,163,1237,0.6796,1042994082302208333696820608,12,,
grafo11096.97.txt,162,840,2.6699,21190592381506159344503198702400000,9,,
grafo11099.99.txt,,,TO,,,,
grafo11100.95.txt,157,3914,69.5110,1816713943740179220678036480,15,,
grafo11101.95.txt,162,1800,55.9850,925307123039192848461312,13,,
grafo11102.98.txt,156,541,61.0347,78159853560697776,16,,
grafo11105.95.txt,166,1068,816.6320,2780329361017679787740480496,12,,
grafo11106.99.txt,158,810,208.7948,1800410829963731636845259520,15,,
grafo11110.99.txt,156,672,13.8248,3283273471348689681777012,18,,
grafo11112.96.txt,157,655,951.5253,32730420111605723465368,16,,
grafo11113.98.txt,153,577,9.0890,85282876610070364386506217600,10,,
grafo11114.93.txt,158,813,29.6613,19671423926865926171894250009840,11,,
grafo11115.92.txt,152,700,0.3012,457952153329344881847182400,8,,
grafo11119.98.txt,161,863,TO,,,,
grafo11125.100.txt,,,TO,,,,
grafo11140.98.txt,147,542,2.6746,12949719097651467435583488000,12,,
grafo11142.99.txt,164,721,365.7067,1972035514499084401578914190442500,11,,
grafo11143.98.txt,156,563,1.7970,21006525537883519741138348800,12,,
grafo11144.92.txt,151,722,23.6288,69290945340192171185472000,9,,
grafo11145.99.txt,169,1166,926.5062,3903575490174366298584834349500,14,,
grafo11148.99.txt,155,977,1017.8838,26041694824934201896252713228780,11,,
grafo11149.100.txt,,,TO,,,,
grafo11157.100.txt,158,1598,37.0892,2255220706960252460009775340800,11,,
grafo11162.100.txt,,,TO,,,,
grafo11176.100.txt,,,TO,,,,
grafo11178.95.txt,,,TO,,,,
grafo11181.95.txt,154,745,2.2198,204303551180648012431583604480,12,,
grafo11198.98.txt,167,2169,TO,,,,
grafo11201.99.txt,165,885,1.5686,1147720450559495792252226408000,11,,
grafo11204.99.txt,,,TO,,,,
grafo11218.99.txt,166,1389,1087.8966,981634254919532297202912,15,,
grafo11223.99.txt,146,568,72.3608,2360818719012081418650711306540,10,,
grafo11227.100.txt,165,734,486.4677,2716288583159839941443148,14,,
grafo11250.99.txt,163,1007,23.0661,8943747317419205357818461381583296,10,,
grafo11251.93.txt,151,807,1.5506,4809787111811592399184022526528,9,,
grafo11254.99.txt,154,1002,109.0303,30139977622287267367176194,13,,
grafo11271.99.txt,171,1500,81.4046,109664252023274371019546173840,13,,
grafo11280.99.txt,165,1092,61.3764,83393808943885689836202,18,,
grafo11313.96.txt,154,696,208.2215,7003276840515664560,15,,
