SharpSAT-TD求解器实验结果
文件名,运行时间(秒),模型计数
grafo2627.23,43.626141022,700
grafo2629.17,198.672130216,16250
grafo2631.62,316.117541508,43725000
grafo2632.27,300.271016992,238140000
grafo2633.57,207.580322838,185513
grafo2635.15,218.156413179,1367753513
grafo2636.82,41.60618904,650
grafo2638.38,60.706276719,138325
grafo2646.58,218.390964342,207000
grafo2647.51,244.36389635,907589312500
grafo2649.35,195.87727784,421875
grafo2660.55,231.822686663,421875
grafo2661.90,164.760955676,16875000
grafo266.31,234.359422683,692900
grafo2664.37,175.473055831,58240
grafo2669.22,169.018753934,21762
grafo2670.61,174.512546133,675
grafo2673.99,85.75057146,15625
grafo2678.17,151.613057586,390625
grafo2679.82,143.180265412,624375
grafo2680.82,254.919111703,3413750625000
grafo2684.65,198.760239019,596700
grafo2688.99,443.380284804,7517341092150000
grafo2691.73,211.738878522,32916038350
grafo2694.62,237.395701289,2726562500
grafo2697.46,129.309637996,500000
grafo2700.23,106.95058978,11328125
grafo2707.98,247.816785381,13899600
grafo2708.48,81.58340055799999,676
grafo2709.99,179.152279093,20670000
grafo2714.84,181.464450845,19683
grafo2715.50,50.960393211,875
grafo2721.41,161.580678187,484800400
grafo2726.22,188.266517917,16250
grafo2731.93,358.453558862,4729347000000
grafo2734.66,186.557739376,193050
grafo2743.45,252.256364601,1894867972074000
grafo2746.12,64.933171613,16250
grafo2747.81,109.642246617,16875
grafo2750.87,297.102615905,493571885940
grafo2755.36,322.180273694,726125400
grafo2758.19,195.802502373,211936875
grafo2762.48,295.592603004,45321412500
grafo2764.33,49.78574745,625
grafo2777.17,109.679312951,172840032
grafo2782.33,37.88410453,825
grafo278.30,176.930814793,783
grafo2783.49,102.374714362,15625
grafo2786.80,331.293883514,1053506250
grafo2787.89,84.731109316,176175232
grafo2795.14,359.389629619,34402352400
grafo2797.17,38.737938335,650
grafo2800.37,176.829732546,7970484375
grafo2804.88,206.057951718,17550
grafo2805.68,207.438868395,31859750
grafo2808.73,209.401234347,2420202335040
grafo2812.31,212.638768648,19380000
grafo2813.89,92.574538817,24745500
grafo2818.68,209.354365415,25759500
grafo2824.14,83.993373926,15625
grafo2825.78,58.814849345,17500
grafo2828.23,183.614375219,421875
grafo2830.59,161.062652039,953228250
grafo2844.68,181.573691636,39150
grafo2849.25,166.77083003,725
grafo2854.71,69.210102917,38125
grafo2855.63,193.313260906,16250
grafo2861.98,196.471248474,438750
grafo2865.48,276.127003059,57200
grafo286.89,196.62905298,390625
grafo2877.85,85.586454816,15625
grafo2880.78,88.09240993,625
grafo2885.21,270.612063327,1888510624
grafo2886.93,188.2665213,20800
grafo288.69,196.336952981,21250
grafo289.30,214.989498835,437500
grafo2903.100,97.33551288300001,137900
grafo2904.71,498.729637815,20924541030400
grafo2915.82,217.397875239,182075
grafo2922.38,111.734131599,4869375
grafo2927.50,211.183267284,934440000
grafo2928.30,198.974748037,445770
grafo2929.43,56.041315622,16875
grafo2934.68,71.756404164,422500
grafo2935.57,249.837568824,14681250
grafo2937.92,222.249144272,3327350
grafo2942.28,238.531829486,46460000
grafo2947.18,130.626333796,16875
grafo2948.77,375.0159659,17138302500000
grafo2951.96,307.008060792,3629434800000
grafo2952.13,124.712000981,15375000
grafo2954.51,333.969290911,750275500
grafo2957.43,272.0520198,549527601000
grafo2958.65,241.366143181,1531116
grafo2968.65,332.638250679,431553712500
grafo2970.39,29.980526673,700
grafo2977.11,227.471874538,315900
grafo2978.44,53.002971404,924
grafo2981.23,198.664503548,725000
grafo2985.16,87.708469788,53325
grafo2990.71,144.061610839,51040
grafo3000.44,220.345368016,593750
grafo3002.56,210.109929867,421875
grafo300.45,212.014435094,44375050
grafo3025.48,57.187977613,625
grafo3027.36,208.983491411,838350
grafo3038.18,43.809388899,1232
grafo3039.31,226.761453208,13837500
grafo3045.26,250.756614846,9750000
grafo3050.41,173.58489075,4584053250
grafo3053.79,163.18956492,12090000
grafo3055.55,318.915521529,1856171745312300
grafo3056.84,62.542426426,625
grafo3062.53,192.468875946,15775
grafo3063.99,211.49470235,577800
grafo3069.68,65.31720359800001,625
grafo3072.29,331.28871907,4254037
grafo3073.22,204.999406578,1026200000
grafo3077.18,200.649996083,1184274
grafo307.81,185.785431542,22400
grafo3079.82,229.77830079,76720000
grafo3086.32,63.630336491,625
grafo3095.25,113.492017567,25298650
grafo3096.23,179.004319013,625
grafo3097.85,60.35331001,625
grafo3106.20,164.171429813,650
grafo3110.11,66.44113446199999,2673
grafo3117.75,145.298741319,11064975
grafo3120.28,249.844734545,15375000
grafo3122.45,51.312431966,625
grafo3133.31,219.160871505,214800
grafo3135.70,251.916306492,1708590000
grafo3144.50,247.519589843,35100
grafo3148.51,21.132624227,650
grafo315.16,140.630458955,390625
grafo3157.37,357.223859512,868593762400
grafo3160.85,71.76010596899999,16875
grafo3167.30,48.102614854,625
grafo3168.62,101.883591808,16250
grafo3173.27,157.065562425,1878763750
grafo3177.38,241.503068104,315660316950
grafo3184.47,193.897456755,473850
grafo318.55,182.048571937,16875
grafo3186.61,132.474212373,390625
grafo3190.91,225.658842355,22569840
grafo3192.54,211.248264899,1462500
grafo3207.42,224.654922964,422500
grafo3209.17,214.148556087,4166500000
grafo3210.76,287.766835958,228639375000
grafo3211.22,171.967720009,651250
grafo3214.91,108.499695442,438750
grafo3215.73,152.949819103,500000
grafo3216.77,80.024986884,23868
grafo3219.45,76.977373984,15625
grafo3222.86,325.230660535,11371637475000
grafo3230.82,168.792041861,489348
grafo3231.18,259.513313125,428575000
